month,muni_baseline_boardings,muni_recovery_rate,muni_monthly_boardings
2023-01,17035000.0,0.629411765,10662000.0
2023-02,16011000.0,0.6625,10645000.0
2023-03,17642000.0,0.676136364,11854000.0
2023-04,17921000.0,0.681564246,12189000.0
2023-05,18168000.0,0.692307692,12605000.0
2023-06,17116000.0,0.695906433,11916000.0
2023-07,17501000.0,0.691428571,12098000.0
2023-08,17711000.0,0.751412429,13316000.0
2023-09,17813000.0,0.735955056,13074000.0
2023-10,19241000.0,0.703125,13465000.0
2023-11,16721000.0,0.718562874,12002000.0
2023-12,16344000.0,0.72392638,11841000.0
2024-01,17035000.0,0.723529412,12301000.0
2024-02,16011000.0,0.76875,12294000.0
2024-03,17642000.0,0.761363636,13444000.0
2024-04,17921000.0,0.737430168,13235000.0
2024-05,18168000.0,0.769230769,13962000.0
2024-06,17116000.0,0.742690058,12722000.0
2024-07,17501000.0,0.748571429,13131000.0
2024-08,17711000.0,0.785310734,13866000.0
2024-09,17813000.0,0.786516854,14022000.0
2024-10,19241000.0,0.776041667,14854000.0
2024-11,16721000.0,0.754491018,12639000.0
2024-12,16344000.0,0.773006135,12587000.0
2025-01,17035000.0,0.782352941,13348000.0
2025-02,16011000.0,0.76875,12304000.0
2025-03,17642000.0,0.784090909,13808000.0
2025-04,17921000.0,0.787709497,14117000.0
2025-05,18168000.0,0.796703297,14483000.0
2025-06,17116000.0,0.771929825,13223000.0
2025-07,17501000.0,0.782857143,13742000.0
2025-08,17711000.0,0.81920904,14473000.0
2025-09,17813000.0,0.825842697,14695000.0
2025-10,19241000.0,0.786458333,15104000.0
2025-11,16721000.0,0.77245509,12936000.0
2025-12,16344000.0,0.773006135,12576000.0
