month,waymo_passenger_miles
2023-01,30308.62
2023-02,20492.771
2023-03,22891.252
2023-04,25934.95
2023-05,26214.812
2023-06,16741.611
2023-07,13383.561
2023-08,164303.08
2023-09,317815.97
2023-10,402755.4
2023-11,316579.22
2023-12,423170.03
2024-01,415748.0
2024-02,416408.47
2024-03,487548.1
2024-04,532755.9
2024-05,905889.8
2024-06,1286120.0
2024-07,1761990.9
2024-08,2249501.2
2024-09,2499442.2
2024-10,3128965.0
2024-11,3486609.8
2024-12,3801416.0
2025-01,3591931.0
2025-02,3750371.0
2025-03,5028021.0
2025-04,5626468.0
2025-05,6560913.5
2025-06,4417638.0
2025-07,6027896.0
2025-08,7005669.5
2025-09,7652047.0
2025-10,9054656.0
2025-11,9454403.0
2025-12,9401292.0
