month,total_exits
2022-01,2186425
2022-02,2522314
2022-03,3344004
2022-04,3375449
2022-05,3543655
2022-06,3749506
2022-07,3442820
2022-08,3916544
2022-09,4067128
2022-10,4058960
2022-11,3623335
2022-12,3302858
2023-01,3310812
2023-02,3456072
2023-03,3979363
2023-04,3885385
2023-05,4133709
2023-06,4159215
2023-07,3916452
2023-08,4477455
2023-09,4202723
2023-10,4432027
2023-11,3980362
2023-12,3625983
2024-01,3806386
2024-02,3860658
2024-03,4112204
2024-04,4160591
2024-05,4381017
2024-06,4074282
2024-07,4207970
2024-08,4482470
2024-09,4592612
2024-10,4831431
2024-11,3950428
2024-12,3874228
2025-01,4151331
2025-02,4030808
